Engine---,,,,,,,,,,
Piston,Solid1003_22,Solid1003_24,Solid1003_15,Solid1003_3,,,,,,
Connecting Rod,Solid1003_23,Solid1003_25,Solid1003_16,Solid1003_4,,,,,,
Crankshaft,Solid1003_19,Solid1003_28,Solid1003_12,Solid1003_7,Solid1003_20,Solid1003_29,Solid1003_13,Solid1003_8,,
Bolt,Solid1003_17,Solid1003_18,Solid1003_27,Solid1003_26,Solid1003_10,Solid1003_11,Solid1003_6,Solid1003_5,,
Body?,Solid1003_1,Solid1003_2,,,,,,,,
,,,,,,,,,,
Gripper---,,,,,,,,,,
Gripper Base,Solid1008,,,,,,,,,
Finger,Solid1011,Solid1016,,,,,,,,
Base Gear,Solid1002,,,,,,,,,
Gear Link,Solid1010,Solid1009,,,,,,,,
Link,Solid1012,Solid1001,,,,,,,,
Pin,Solid1015,Solid1023,Solid1021,Solid1022,Solid1020,Solid1019,Solid1017,Solid1018,Solid1014,Solid1013
,,,,,,,,,,
Robot Arm---,,,,,,,,,,
Base,Solid1_2,Solid1_1,,,,,,,,
Axis 1,Solid1_3,Solid1_1001,,,,,,,,
Axis 2,Solid1_2002,Solid1_3001,Solid1_1002,,,,,,,
,,,,,,,,,,
Leaf Spring---,,,,,,,,,,
Center Clamp,Solid2001_3,,,,,,,,,
Sub Clamp,Solid1029,Solid1030,Solid1032,Solid1033,,,,,,
Leaf Pack,Solid1031_1,,,,,,,,,
Support Rubber,Solid1007,Solid1013,Solid1014,,,,,,,
Support,Solid1,Solid1001,,,,,,,,
Support Rigid,Solid2,Solid2002,,,,,,,,
,,,,,,,,,,
Suspension---,,,,,,,,,,
Base,Solid1020_1,,,,,,,,,
Rod,Solid1007,,,,,,,,,
Spring,Solid1008,,,,,,,,,
Nut,Solid1002,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Grouping List (Bottom),,,,,,,,,,
Engine---,,,,,,,,,,
Solid1003_2,Solid1003_1,,,,,,,,,
,,,,,,,,,,
Robot Arm---,,,,,,,,,,
Solid1_2,Solid1_1,,,,,,,,,
Solid1001_1,Solid1001_3,Solid1001_2,,,,,,,,
Solid1002_1,Solid1002_2,Solid1002_3,,,,,,,,
Solid1003,Solid1003_1,,,,,,,,,
Solid1004_1,Solid1004,,,,,,,,,
Solid1005,Solid1005_1,,,,,,,,,
Solid1006,Solid1006_1,Solid1006_2,,,,,,,,
Solid1011,Solid1012,,,,,,,,,
,,,,,,,,,,
Suspension---,,,,,,,,,,
Solid1020_1,Solid1020,,,,,,,,,
,,,,,,,,,,
Leaf Spring---,,,,,,,,,,
Solid1033,Solid1033_1,,,,,,,,,
Solid1032,Solid1032_1,,,,,,,,,
Solid1030,Solid1030_1,,,,,,,,,
Solid1029,Solid1029_1,,,,,,,,,
Solid2001_3,Solid2001_2,,,,,,,,,
